Nr,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude
1,Tamara Mellon,Los Angeles,other,California,USA,North America,20.0,2020-03-12,40.0,50.0,30.0,Retail,Series C,90.0,2020,34.0536909,-118.242766
2,HopSkipDrive,Los Angeles,other,California,USA,North America,8.0,2020-03-13,10.0,80.0,72.0,Transportation,Unknown,45.0,2020,34.0536909,-118.242766
3,Panda Squad,San Francisco,San Francisco Bay Area,California,USA,North America,6.0,2020-03-13,75.0,8.0,2.0,Consumer,Seed,1.0,2020,37.7792588,-122.4193286
4,Help.com,Austin,other,Texas,USA,North America,16.0,2020-03-16,100.0,16.0,0.0,Support,Seed,6.0,2020,30.2711286,-97.7436995
5,Inspirato,Denver,other,Colorado,USA,North America,130.0,2020-03-16,22.0,591.0,461.0,Travel,Series C,79.0,2020,39.7392364,-104.984862
6,Flytedesk,Boulder,other,Colorado,USA,North America,4.0,2020-03-18,20.0,20.0,16.0,Marketing,Seed,4.0,2020,40.0149856,-105.270545
7,Remote Year,Chicago,other,Illinois,USA,North America,50.0,2020-03-19,50.0,100.0,50.0,Travel,Series B,17.0,2020,41.8755616,-87.6244212
8,CTO.ai,Vancouver,Cascadia,British Columbia,Canada,North America,30.0,2020-03-20,50.0,60.0,30.0,Infrastructure,Seed,7.0,2020,49.2608724,-123.113952
9,Flywheel Sports,New York City,other,New York,USA,North America,784.0,2020-03-20,98.0,800.0,16.0,Fitness,Acquired,120.0,2020,40.7127281,-74.0060152
10,Compass,New York City,other,New York,USA,North America,375.0,2020-03-23,15.0,2500.0,2125.0,Real Estate,Series G,1600.0,2020,40.7127281,-74.0060152
11,Convene,New York City,other,New York,USA,North America,150.0,2020-03-23,18.0,833.0,683.0,Real Estate,Series D,280.0,2020,40.7127281,-74.0060152
12,GrayMeta,Los Angeles,other,California,USA,North America,20.0,2020-03-23,40.0,50.0,30.0,Data,Unknown,7.0,2020,34.0536909,-118.242766
13,Ladder Life,Palo Alto,San Francisco Bay Area,California,USA,North America,13.0,2020-03-23,25.0,52.0,39.0,Finance,Series C,94.0,2020,37.4443293,-122.1598465
14,Leafly,Seattle,Cascadia,Washington,USA,North America,91.0,2020-03-23,50.0,182.0,91.0,Retail,Acquired,2.0,2020,47.6038321,-122.330062
15,The Guild,Austin,other,Texas,USA,North America,38.0,2020-03-23,22.0,173.0,135.0,Travel,Series B,36.0,2020,30.2711286,-97.7436995
16,Triplebyte,San Francisco,San Francisco Bay Area,California,USA,North America,15.0,2020-03-23,17.0,88.0,73.0,HR,Series B,48.0,2020,37.7792588,-122.4193286
17,Foodsby,Minneapolis,other,Minnesota,USA,North America,87.0,2020-03-24,67.0,130.0,43.0,Food,Series B,20.0,2020,44.9772995,-93.2654692
18,Sonder,San Francisco,San Francisco Bay Area,California,USA,North America,400.0,2020-03-24,33.0,1212.0,812.0,Travel,Series D,359.0,2020,37.7792588,-122.4193286
19,Zeus Living,San Francisco,San Francisco Bay Area,California,USA,North America,80.0,2020-03-24,30.0,267.0,187.0,Real Estate,Series B,79.0,2020,37.7792588,-122.4193286
20,Jama,Portland,Cascadia,Oregon,USA,North America,12.0,2020-03-25,5.0,240.0,228.0,Product,Unknown,233.0,2020,45.5202471,-122.674194
21,OutboundEngine,Austin,other,Texas,USA,North America,52.0,2020-03-25,28.0,186.0,134.0,Marketing,Series C,48.0,2020,30.2711286,-97.7436995
22,Overtime,New York City,other,New York,USA,North America,30.0,2020-03-25,23.0,130.0,100.0,Media,Series B,35.0,2020,40.7127281,-74.0060152
23,TripActions,Palo Alto,San Francisco Bay Area,California,USA,North America,300.0,2020-03-25,25.0,1200.0,900.0,Travel,Series D,,2020,37.4443293,-122.1598465
